base,rt,id,type,title,text,list_items,suggest_shared,earnable_in_base
notz,rtnotz,zealots_revent,binary,The Zealot's Revenge,Have Lita Chantler’s [reaction] ability deal the killing blow to the Ghoul Priest.,,Y,
notz,rtnotz,dont_trust_her,binary,I Don't Trust Her,"When given the option to add Lita Chantler to your deck, refuse to do so.",,Y,
notz,rtnotz,insurance,binary,Insurance Doesn’t Cover Ghouls,Burn your house to the ground in “The Gathering.”,,Y,
notz,rtnotz,do_i_have_to,binary,…But Do I Have To?,"In “The Midnight Masks,” have each investigator remain in Your House for the first three rounds.",,Y,
notz,rtnotz,conspiracy_of_silence,binary,Conspiracy of Silence,Find and interrogate all six unique cultists in “The Midnight Masks.”,,Y,
notz,rtnotz,tour_of_arkham,binary,Tour of Arkham,Trigger each of the “once per game” abilities on all of the locations in play in “The Midnight Masks.”,,Y,
notz,rtnotz,do_you_get_it_now,binary,Do You Get It Now?,Trigger the Forced ability on Billy Cooper by defeating the Ghoul Priest at his location.,,N,
notz,rtnotz,pinch_hitter,binary,Pinch Hitter,Defeat three [[Ghoul]] enemies with a Baseball Bat without it breaking.,,Y,
notz,rtnotz,even_death_may_die,binary,Even Death May Die,Defeat Umôrdhoth while the Vault of Earthly Demise is attached to it.,,N,
notz,rtnotz,break_the_circle,binary,Break the Circle,Complete “The Devourer Below” without Umôrdhoth spawning.,,Y,
notz,rtnotz,theyre_just_misunderstood,binary,They’re Just Misunderstood,Win the Night of the Zealot campaign without defeating a single unique [[Cultist]] enemy.,,Y,
notz,rtnotz,umordhoths_favor,binary,Umôrdhoth’s Favor,Win the Night of the Zealot campaign without defeating a single [[Ghoul]] enemy.,,Y,
notz,rtnotz,notz_line_in_the_sand,binary,Line in the Sand,Win the Night of the Zealot campaign with at least three Ultimatums active.,,Y,
notz,rtnotz,arkham_expertise,binary,Arkham Expertise,Win the Night of the Zealot campaign on Expert difficulty.,,Y,
dwl,rtdwl,what_is_this_stuff,binary,"What Is This Stuff, Anyway?",Defeat The Experiment using the Alchemical Concoction in “Extracurricular Activities”.,,Y,
dwl,rtdwl,no_void_for_you,binary,No Void For You,Complete “The Miskatonic Museum” without ever defeating the Hunting Horror.,,Y,
dwl,rtdwl,first_rule_of_arkham,binary,First Rule of Arkham,Burn The Necronomicon in “The Miskatonic Museum.”,,Y,
dwl,rtdwl,all_aboard,binary,All Aboard,Complete “The Essex County Express” without letting any Helpless Passengers leave play.,,Y,
dwl,rtdwl,gangs_all_here,list,The Gang’s All Here,"In “The Survivors,” the following characters survived The Dunwich Legacy:",Dr. Henry Armitage | Dr. Francis Morgan | Professor Warren Rice | Zebulon Whateley | Earl Sawyer,Y,
dwl,rtdwl,no_brood_left_behind,binary,No Brood Left Behind,Have no Broods of Yog-Sothoth escape into the wild in “Undimensioned and Unseen.”,,Y,
dwl,rtdwl,remind_me_not_to_piss_her_off,binary,Remind Me Not To Piss Her Off,Defeat either version of Seth Bishop while Naomi O’Bannion is under your control.,,Y,
dwl,rtdwl,eureka,binary,Eureka!,Identify the Strange Solution.,,Y,
dwl,rtdwl,beyond_what_veil,binary,Beyond What Veil?,Take 10 damage from Beyond the Veil without being defeated.,,Y,
dwl,rtdwl,here_we_go_again,binary,Here We Go Again,"Have Dr. Henry Armitage, Dr. Francis Morgan, and Professor Warren Rice in play at the same time.",,Y,
dwl,rtdwl,bird_hunting,binary,Bird Hunting,Defeat 3 Whippoorwills in a single turn.,,Y,
